epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9121388792991638,0.0010000000474974513,0.29401251673698425,0.9366557598114014,0.8964055776596069,0.9918000102043152,0.026331836357712746,0.9929852485656738,0.9908999800682068
1,0.9661277532577515,0.0010000000474974513,0.12126864492893219,0.9715437293052673,0.9614666700363159,0.9922999739646912,0.02388072945177555,0.9927927851676941,0.9918000102043152
2,0.9735611081123352,0.0010000000474974513,0.09521258622407913,0.9781437516212463,0.9701555371284485,0.9934999942779541,0.02370009385049343,0.9940952658653259,0.9933000206947327
3,0.9770500063896179,0.0010000000474974513,0.0824936181306839,0.9804990887641907,0.9740277528762817,0.9954000115394592,0.01549359131604433,0.9958966970443726,0.9951000213623047
4,0.9792555570602417,0.0010000000474974513,0.07548684626817703,0.9823760986328125,0.9764000177383423,0.9898999929428101,0.03325425833463669,0.9904895424842834,0.9894000291824341
5,0.9812999963760376,0.0010000000474974513,0.06925995647907257,0.9840743541717529,0.9790555834770203,0.9957000017166138,0.014951718039810658,0.9962962865829468,0.9952999949455261
6,0.9819333553314209,0.0010000000474974513,0.06458724290132523,0.9847432971000671,0.9796500205993652,0.995199978351593,0.015717079862952232,0.995794951915741,0.9945999979972839
7,0.9835388660430908,0.0010000000474974513,0.060686782002449036,0.9859912991523743,0.9814666509628296,0.9937999844551086,0.01840241812169552,0.994293749332428,0.9932000041007996
8,0.9842333197593689,0.0010000000474974513,0.056908756494522095,0.9865449070930481,0.9821000099182129,0.9944000244140625,0.01863333210349083,0.9946973323822021,0.9941999912261963
9,0.9855055809020996,0.0010000000474974513,0.05393849313259125,0.9875021576881409,0.9837222099304199,0.9940999746322632,0.019667984917759895,0.9944944977760315,0.9934999942779541
10,0.9850500226020813,0.0010000000474974513,0.05208698287606239,0.9871458411216736,0.9834111332893372,0.996399998664856,0.012894945219159126,0.9964985847473145,0.9961000084877014
